BLDG|NAME|ADDRESS|CITY|STATE|ROOMS
1277|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1278|Urban Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|20
1279|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|2
1282|Turfgrass Envirotron|1388 ORCHARD DR|GAINESVILLE|FL|12
1283|Greenhouse, Turfgrass|1388 ORCHARD DR|GAINESVILLE|FL|3
1284|Greenhouse, Turfgrass|1388 ORCHARD DR|GAINESVILLE|FL|1
1285|Greenhouse, Turfgrass|1388 ORCHARD DR|GAINESVILLE|FL|1
1286|Greenhouse, Turfgrass|1388 ORCHARD DR|GAINESVILLE|FL|1
1287|Greenhouse, Turfgrass|1388 ORCHARD DR|GAINESVILLE|FL|1
1288|Potting Shed, Forestry|2333 MOWRY RD|GAINESVILLE|FL|1
1289|Nematology Shade House|2350 MOWRY RD|GAINESVILLE|FL|1
1290|Nematology Potting Shed|2350 MOWRY RD|GAINESVILLE|FL|1
1291|Plant Pathology Diagnostics Lab|2570 HULL RD|GAINESVILLE|FL|23
1292|Storage, Nematology|2350 MOWRY RD|GAINESVILLE|FL|1
1296|Fuel Storage Tank|1354 DATE PALM RD|GAINESVILLE|FL|1
1297|World House|2610 SW 23RD TER|GAINESVILLE|FL|3
1298|Entomology Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1299|Entomology Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1300|Vet Med Chemical Storage|1951 SW 16TH AV|GAINESVILLE|FL|1
1301|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1302|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1303|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1304|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1305|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1306|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1344|Storage Bldg|2005 SW 23RD ST|GAINESVILLE|FL|1
1354|Greenhouse|2005 SW 23RD ST|GAINESVILLE|FL|1
1355|Polyhouse|2475 MEMORIAL RD|GAINESVILLE|FL|1
1356|Environmental Hort Support|2977 SW 23RD TER|GAINESVILLE|FL|7
1357|Storage|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1358|Entomology Shadehouse, North|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1359|Entomology Shadehouse, South|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1360|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1361|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1362|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1363|Greenhouse|2475 MEMORIAL RD|GAINESVILLE|FL|1
1364|Greenhouse|2475 MEMORIAL RD|GAINESVILLE|FL|2
1371|Animal Care Extension Facility 1|2392 SW 23RD ST|GAINESVILLE|FL|20
1373|Head House|2005 SW 23RD ST|GAINESVILLE|FL|1
1375|Clinical and Translational Research Building|2004 MOWRY RD|GAINESVILLE|FL|485
1376|Cancer/Genetics Research Complex|2033 MOWRY RD|GAINESVILLE|FL|769
1377|Emerging Pathogens Institute|2055 MOWRY RD|GAINESVILLE|FL|449
1378|Chilled Water Plant #10|2163 MOWRY RD|GAINESVILLE|FL|9
1379|Aquatic Pathobiology|2173 MOWRY RD|GAINESVILLE|FL|41
1747|Police UHF Radio Tower|1569 MUSEUM RD|GAINESVILLE|FL|1
1748|Police VHF Radio Tower|1571 MUSEUM RD|GAINESVILLE|FL|1
1749|Health Center Radio Tower|UNK|GAINESVILLE|FL|1
1774|Attendant Booth at Cultural Plaza Parking|3203 HULL RD|GAINESVILLE|FL|1
1775|Attendant Booth at Orthopaedics Parking|UNK|GAINESVILLE|FL|1
2013|Shands Cancer Center|1515 SW ARCHER ROAD|GAINESVILLE|FL|14
2014|UF Shands AHC, IT Services|3011 SW WILLISTON RD|GAINESVILLE|FL|3
2020|Aging Temporary Building|2199 MOWRY RD|GAINESVILLE|FL|47
3001|Winn-Dixie Hope Lodge|2121 SW 16TH ST|GAINESVILLE|FL|1
3005|Magnetic Resonance Imaging|UNK|GAINESVILLE|FL|26
